               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               4.907,              6.2448,              5.2769,           0.0083951,            0.015691,           0.0022121,          0.00072371,                   0,                   0,                   0,            0.070045,           0.0033283,           0.0033283
                   1,               4.096,               4.666,              4.1642,              0.4897,            0.085881,            0.064807,            0.025411,                   0,                   0,                   0,            0.039888,           0.0065046,           0.0065046
                   2,              3.0895,              3.4604,              2.9846,             0.50002,             0.14474,             0.14991,            0.072468,                   0,                   0,                   0,            0.009574,           0.0095238,           0.0095238
                   3,              2.6401,              2.8238,              2.4434,             0.50332,             0.22213,               0.239,             0.12843,                   0,                   0,                   0,           0.0092929,           0.0092929,           0.0092929
                   4,              2.4122,              2.4763,               2.232,              0.5455,             0.26179,             0.27202,             0.14851,                   0,                   0,                   0,           0.0092929,           0.0092929,           0.0092929
                   5,              2.2629,              2.2289,              2.0926,             0.48941,             0.27494,             0.29966,             0.16706,                   0,                   0,                   0,           0.0090571,           0.0090571,           0.0090571
                   6,              2.1474,              2.0553,              2.0024,             0.53746,             0.31275,             0.35522,             0.20271,                   0,                   0,                   0,           0.0088214,           0.0088214,           0.0088214
                   7,              2.0865,              1.9419,              1.9391,              0.7141,             0.31431,             0.38395,             0.22053,                   0,                   0,                   0,           0.0085857,           0.0085857,           0.0085857
                   8,              2.0197,              1.8494,              1.8952,             0.56795,             0.36753,             0.40096,             0.22738,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                   9,                1.98,              1.7605,              1.8502,             0.58688,             0.37254,             0.40852,             0.23716,                   0,                   0,                   0,           0.0081143,           0.0081143,           0.0081143
                  10,              1.9432,              1.7128,              1.8305,             0.72785,             0.36573,             0.43005,             0.24842,                   0,                   0,                   0,           0.0078786,           0.0078786,           0.0078786
                  11,              1.8996,              1.6405,              1.7887,             0.69185,             0.41695,              0.4471,             0.26214,                   0,                   0,                   0,           0.0076429,           0.0076429,           0.0076429
                  12,              1.8689,              1.5928,              1.7716,             0.67658,             0.42513,             0.46255,             0.27255,                   0,                   0,                   0,           0.0074071,           0.0074071,           0.0074071
                  13,              1.8528,              1.5542,               1.756,             0.73841,             0.41787,             0.49265,             0.28503,                   0,                   0,                   0,           0.0071714,           0.0071714,           0.0071714
                  14,              1.8293,                1.53,              1.7406,             0.72458,             0.43248,             0.48761,             0.28506,                   0,                   0,                   0,           0.0069357,           0.0069357,           0.0069357
                  15,              1.8028,              1.4938,              1.7206,             0.69274,             0.45145,             0.48492,              0.2899,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  16,              1.7873,              1.4614,              1.7091,             0.75557,             0.43769,             0.50264,             0.30533,                   0,                   0,                   0,           0.0064643,           0.0064643,           0.0064643
                  17,              1.7654,              1.4363,              1.6972,             0.68352,             0.49205,             0.51717,             0.30815,                   0,                   0,                   0,           0.0062286,           0.0062286,           0.0062286
